CHAPTER,DIAGNOSIS_CODE,TITLE,SHORT_DESC,LONG_DESC
I,0010,Infectious And Parasitic Diseases,Cholera d/t vib cholerae,Cholera due to vibrio cholerae
I,0011,Infectious And Parasitic Diseases,Cholera d/t vib el tor,Cholera due to vibrio cholerae el tor
I,0019,Infectious And Parasitic Diseases,Cholera NOS,"Cholera, unspecified"
I,0020,Infectious And Parasitic Diseases,Typhoid fever,Typhoid fever
I,0021,Infectious And Parasitic Diseases,Paratyphoid fever a,Paratyphoid fever A
I,0022,Infectious And Parasitic Diseases,Paratyphoid fever b,Paratyphoid fever B
I,0023,Infectious And Parasitic Diseases,Paratyphoid fever c,Paratyphoid fever C
I,0029,Infectious And Parasitic Diseases,Paratyphoid fever NOS,"Paratyphoid fever, unspecified"
I,0030,Infectious And Parasitic Diseases,Salmonella enteritis,Salmonella gastroenteritis
I,0031,Infectious And Parasitic Diseases,Salmonella septicemia,Salmonella septicemia
I,00320,Infectious And Parasitic Diseases,Local salmonella inf NOS,"Localized salmonella infection, unspecified"
I,00321,Infectious And Parasitic Diseases,Salmonella meningitis,Salmonella meningitis
I,00322,Infectious And Parasitic Diseases,Salmonella pneumonia,Salmonella pneumonia
I,00323,Infectious And Parasitic Diseases,Salmonella arthritis,Salmonella arthritis
I,00324,Infectious And Parasitic Diseases,Salmonella osteomyelitis,Salmonella osteomyelitis
I,00329,Infectious And Parasitic Diseases,Local salmonella inf NEC,Other localized salmonella infections
I,0038,Infectious And Parasitic Diseases,Salmonella infection NEC,Other specified salmonella infections
I,0039,Infectious And Parasitic Diseases,Salmonella infection NOS,"Salmonella infection, unspecified"
I,0040,Infectious And Parasitic Diseases,Shigella dysenteriae,Shigella dysenteriae
I,0041,Infectious And Parasitic Diseases,Shigella flexneri,Shigella flexneri
I,0042,Infectious And Parasitic Diseases,Shigella boydii,Shigella boydii
I,0043,Infectious And Parasitic Diseases,Shigella sonnei,Shigella sonnei
I,0048,Infectious And Parasitic Diseases,Shigella infection NEC,Other specified shigella infections
I,0049,Infectious And Parasitic Diseases,Shigellosis NOS,"Shigellosis, unspecified"
I,0050,Infectious And Parasitic Diseases,Staph food poisoning,Staphylococcal food poisoning
I,0051,Infectious And Parasitic Diseases,Botulism food poisoning,Botulism food poisoning
I,0052,Infectious And Parasitic Diseases,Food pois d/t c. perfrin,Food poisoning due to Clostridium perfringens (C. welchii)
I,0053,Infectious And Parasitic Diseases,Food pois: clostrid NEC,Food poisoning due to other Clostridia
I,0054,Infectious And Parasitic Diseases,Food pois: v. parahaem,Food poisoning due to Vibrio parahaemolyticus
