,AUROC,Sensitivity,Specificity,Accuracy,Precision,Recall,F1-score
20230912_162146,0.952872332921464,0.659967845659164,0.9874291348286912,0.910582908885116,0.94151376146789,0.659967845659164,0.7759924385633271
20230912_162354,0.9529,0.66,0.9874,0.9106,0.9415,0.66,0.776
20230912_195645,0.98722,0.81431,0.98546,0.94529,0.94496,0.81431,0.87478
20230912_211449,0.98722,0.81431,0.98546,0.94529,0.94496,0.81431,0.87478
20230912_212011,0.98722,0.81431,0.98546,0.94529,0.94496,0.81431,0.87478
20230912_212408,0.98722,0.81431,0.98546,0.94529,0.94496,0.81431,0.87478
20230912_225633,0.98722,0.81431,0.98546,0.94529,0.94496,0.81431,0.87478
20230912_230028,0.98722,0.81431,0.98546,0.94529,0.94496,0.81431,0.87478
20230912_230648,0.98722,0.81431,0.98546,0.94529,0.94496,0.81431,0.87478
,,,,,,,
,,,
